                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7195,                 3.2706,                 2.2394,                0.01203,                0.97819,                0.23625,                 0.0778,                 2.0131,                 2.9089,                 1.5512,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.9529,                 2.3631,                  1.618,                0.02786,                0.88785,                0.28987,                0.11225,                 1.9392,                 2.7614,                 1.6336,             0.00037842,             0.00037842,             0.00037842
                      3,                 1.8252,                 2.2623,                 1.4983,                0.59195,                0.17445,                0.32795,                0.12544,                 1.9714,                 2.6391,                 1.6166,             0.00051328,             0.00051328,             0.00051328
                      4,                 1.8197,                 2.1939,                 1.4609,                0.46353,                 0.3053,                0.36339,                0.15612,                 1.5993,                 2.5757,                 1.4837,             0.00060458,             0.00060458,             0.00060458
                      5,                 1.6565,                 2.0002,                 1.4535,                0.66334,                0.54829,                0.60778,                0.29925,                 1.5538,                 2.4592,                 1.4715,             0.00065232,             0.00065232,             0.00065232
                      6,                 1.6708,                 2.1153,                 1.4742,                0.60931,                0.55763,                0.61439,                0.31261,                 1.5007,                 2.1672,                 1.4126,              0.0006565,              0.0006565,              0.0006565
                      7,                 1.6162,                 2.0427,                 1.4596,                0.59739,                0.64174,                0.61655,                0.34412,                 1.4373,                 1.9533,                 1.3273,             0.00061712,             0.00061712,             0.00061712
                      8,                 1.5886,                 1.8666,                 1.4475,                0.66128,                 0.6947,                0.67785,                0.38299,                 1.4077,                 1.9186,                 1.2938,             0.00053418,             0.00053418,             0.00053418
                      9,                 1.4474,                 1.6483,                 1.3221,                0.71131,                0.74143,                0.77329,                0.43416,                 1.4044,                 1.7167,                 1.2914,             0.00040768,             0.00040768,             0.00040768
                     10,                  1.443,                 1.7859,                 1.3135,                0.75129,                0.75078,                0.79828,                0.45705,                 1.3885,                 1.6454,                 1.2829,               0.000218,               0.000218,               0.000218
